sira,score,mahkeme,daire,esas,kararno,tarih,sinyaller,kesit,konu
241,24.4,Yargıtay,2,2024/328,8074,2024-10-31,gebe×8 | travma×4 | TCK 87/88 | cenin/düşük,"…i, aile mahremiyetini ihlal ettiğini, çocuk sahibi olmak için erkek adına kayıtlı evin tapusunun kadına devrini şart koştuğunu, kasıtlı olarak üç kez düşük yaptığını, çoğu zaman yemeğini erkeğin kendisinin yaptığını, kadının gizli olarak bir çok farklı numaralar ile telefondan iletişime geçtiğini, kadının 2017 Ekim ayında ortak konutu terk ederek ailesinin bulunduğu köye yerleştiğini belirterek evlilik bir…",YARGITAY KARARI
242,24.3,Yargıtay,2,2023/10098,6720,2024-10-01,gebe×3 | travma×8 | TCK 87/88 | cenin/düşük,"…eğin başka bir kadınla mesajlaşmasını okuduğunu, bu kadının kim olduğunu sorması üzerine erkeğin kadına tokat attığını, kadının bu olayın üzüntüsüyle düşük yaptığını, annesinin davalıya sürekli kadını aşağılayan hakaret niteliğinde mesajlar gönderdiğini, davalının evin çatısında güvercinleri olduğunu, devamlı onlarla ilgilendiğini, evine vakit ayırmadığını, eve geç saatte ve sarhoş olarak geldiğini, sık sı…",YARGITAY KARARI
243,24.1,Yargıtay,2,2023/2829,733,2024-02-08,gebe×5 | travma×4 | illiyet×1 | TCK 87/88 | cenin/düşük,"…unu, erkek ve ailesinin kadına şiddet uyguladığını, hakaret, tehdit ve aşağılamalarda bulunduklarını, yaşadığı bedensel ve ruhsal travmalar nedeniyle erken doğum riski geçirdiğini, çocuğun başkasından olduğu gibi ithamlarla erkeğin kadını küçük düşürdüğünü, iftira attığını, habersizce taraflara ait olan fakat erkeğin babasının üzerine tescilli evi satılığa çıkarttığını, kapı kilini de değiştirerek kadını ort…",YARGITAY KARARI
244,24,Anayasa,2,2013/2910,,2015-11-05,gebe×8 | travma×27 | illiyet×5 | TCK 87/88,"…teslimi"" başlıklı 25. maddesi şöyledir: ""Çocuk teslimine dair olan ilam icra dairesine verilince icra memuru 24 üncü maddede yazılı şekilde bir icra emri tebliği suretiyle borçluya yedi gün içinde çocuğun teslimini emreder. Borçlu bu emri tutmazsa çocuk nerede bulunursa bulunsun ilam hükmü zorla icra olunur. Çocuk teslim edildikten sonra diğer taraf haklı bir sebep olmaksızın çocuğu tekrar alırsa ay…",ANAYASA MAHKEMESİNİN 5/11/2015 TARİHLİ VE 2013/2910 SAYILI KARARI (BİREYSEL BAŞVURU)
245,23.9,A.İ.H.M.,2,2003/23909,,2011-02-01,gebe×3 | travma×20 | illiyet×7 | TCK 87/88,"…r. Yakalama tutanağına göre, İzmir Emniyet Genel Müdürlüğü Terörle Mücadele Şubesi tarafından başvuranın seyahat etmekte olduğu arabayla ilgili arama emri çıkartılmıştır. Aynı gün saat 15.10'da, başvuran gözaltına alınmadan önce İzmir Atatürk Eğitim ve Araştırma Hastanesi'nde muayene edilmiş ve vücudunda hiçbir şiddet izine rastlanmamıştır. Başvuran daha sonra Terörle Mücadele Şubesi'nde görevli poli…",DESDE - TÜRKİYE DAVASI
246,23.9,Yargıtay,2,2023/9811,5981,2024-09-17,gebe×7 | travma×4 | TCK 87/88 | cenin/düşük,"…davacının boğazına sarıldığı, vuracağı esnada baba ...'in ve Ağabey ...'in araya girdikleri, davalının (2017 ya da 2018 yılında) gebelik neticesinde düşük yapan davacıyı hastaneye götürmediği gibi hastaneye ziyarete dahi gelmediği ve fiilen ayrıldıktan sonra tarafların hiç bir araya gelmedikleri mahkememizce sabit olmuş, bu nedenler ile taraflar arasındaki evlilik birliğinin, ortak hayatı sürdürmeleri ken…",YARGITAY KARARI
247,23.8,Yargıtay,3,2011/4608,34077,2012-10-11,gebe×6 | travma×8 | cenin/düşük | künt/batın,"…hakkında mağdur ...'a karşı yaralama suçundan kurulan hüküm yönünden; Mağdur ...' un olay tarihinde hamile olduğunu sanığın karnına tekme attığını ve düşük yaptığını beyan etmesine göre, ... Devlet Hastanesinden alınan 30.06.2008 tarihli raporunda; sağ femur üst ön yüzde 2x2 cm lik ve sağ femur arka üstte 2x1 cm lik travmatik ekimoz, karına gelen künt travmaya bağlı hamilelik nedeniyle fetüsün yaşayıp yaşa…",YARGITAY KARARI
248,23.7,Yargıtay,BG,2017/10,1,2019-03-08,gebe×3 | travma×5 | illiyet×1 | TCK 87/88 | cenin/düşük,"…yönüyle cezai şart aynı zamanda bir sözleşme olduğundan, borçlar hukukunda sözleşmelerin tabi olduğu temel kurallara tabidir. Bu anlamda olmak üzere, emredici hükümlere, ahlâka ve kişilik haklarına aykırı; baştaki objektif imkânsızlık, şekle aykırılık, muvazaa veya ehliyetsizlik sebebiyle geçersiz bir sözleşmeye dayanan bir borç için kararlaştırılan ceza koşulları da geçersizdir. Asıl borcun yer aldı…",İÇTİHATLARIN BİRLEŞTİRİLMESİ İSTEMİ - BELİRLİ SÜRELİ YAPILMIŞ ANCAK OBJEKTİF ŞARTLARI TAŞIMADIĞI İÇİN BELİRSİZ SÜRELİ KABUL EDİLEN İŞ SÖZLEŞMESİ - SÜREDEN ÖNCE HAKSIZ FESHE BAĞLI CEZAİ ŞART HÜKMÜNÜN B
249,23.7,Yargıtay,2,2023/4644,4297,2024-06-05,gebe×3 | travma×7 | TCK 87/88 | cenin/düşük,"…başvurmuştur. 2-Davacı- davalı kadın vekili istinaf dilekçesinde; hükmedilen nafaka miktarlarının düşük olduğu, dava devam ederken doğan ortak çocuk Cemre Defne için nafaka talebinin neden reddedildiğinin açıklanmadığını, mahkemenin takdir ettiği maddî ve manevî tazminatların kusur durumu dikkate alındığında az olduğu, karşı davanın ispatlanamadığı halde kabul edildiğini belirterek verilen kararın bu…",YARGITAY KARARI
250,23.4,Yargıtay,CG,2016/608,167,2020-03-10,gebe×2 | travma×17 | illiyet×7 | TCK 87/88,"…özel belge türleri Yasa tarafından özel olarak resmi belge düzeyinde korumaya alınmıştır. Bu tür belgeler TCK 210/1. maddede gösterilmiştir. Bunlar; emre veya hamile yazılı kambiyo senedi, tahvil, hisse senedi, emtiayı temsil eden belge, ve vasiyetnamedir. Belirtilen türdeki belgelerin, resmi belge sayılabilmesi için, kanunda öngörülen usul ve şekil şartlarının bulunması zorunludur. TCK 210/2. madde…",YARGITAY KARARI
251,23.4,Yargıtay,3,2024/1553,884,2025-02-17,gebe×32 | travma×2 | illiyet×6 | cenin/düşük,"…hareketsiz olduğunu fark ettiğini, bebeğin kalp atışının tehlikeli olacak şekilde yavaşlaması nedeniyle davacının 43 yaşında 8.5 ayık olarak bebeğini erken doğum yaparak kucağına aldığını, çocukta kalça çıkıklığı meydana geldiğini belirterek 1.000 TL maddi tazminat, 30.000 TL manevi tazminatın çocuğun doğum tarihi olan 03/11/2020 tarihinden itibaren işleyecek yasal faizi ile birlikte davalılardan müteselsile…","TAZMİNAT İSTEMİ - DAVACININ GEBE KALMASININ HEKİMİN BİR EKSİKLİĞİNDEN KAYNAKLANMADIĞI, DAVALI DOKTORUN YAPILAN İŞLEMLERDE BİR KUSUR VEYA İHMALİNİN BULUNMADIĞI DAVALILARA ATFI KABİL KUSUR BULUNMADIĞI -"
252,23,Danıştay,2,2021/17779,2150,2025-04-30,gebe×4 | travma×5 | TCK 87/88 | cenin/düşük,"…irlemek ve değiştirmek valinin görev ve yetkileri arasındadır. Kanun’a göre il idaresinin ikinci bölümünü il idare şube başkanları oluşturur. Valinin emri altında olan il idare şube başkanları, kendi görev alanlarına giren işlerin yürütülmesinden valiye karşı sorumludurlar. Anılanların, doğrudan doğruya işlem yapma yetkileri yoktur. Bunlar, kendi görev alanına giren konularda işlem ve kararları hazır…",DANIŞTAY KARARI
253,22.9,A.İ.H.M.,A.İ.H.M.,1987/12850,,1992-08-27,gebe×1 | travma×46 | illiyet×7 | TCK 87/88,"…na kadar dosyaya çeşitli belgeler eklemiştir. Soruşturma yargıcı, 17 Nisan'da Bordeaux savcılığının görüp uygun bulduğu dosyayı iddia makamına havale emrini vermiştir. Dava dosyası 22 Nisan 1986 tarihli kararla Başsavcılığa gönderilmiştir. (b) Salıverilme talepleri 21. Tomasi yedi kez salıverilme talebinde bulunmuştur. Soruşturma yargıcı bu başvuruları 31 Mayıs, 7 Haziran, 29 Haziran, 13 Ağustos, 10…",TOMASI - FRANSA DAVASI
254,22.9,A.İ.H.M.,A.İ.H.M.,2007/20347,,2016-07-05,gebe×1 | travma×12 | illiyet×7 | TCK 87/88,"…bildiren Ankara Valiliğinin talimatının tebliğ edilmesinin ardından, İstanbul&rsquo;dan gelen göstericilerin araçlarının otoyol üzerinde durdurulması emri verilmiş ve söz konusu gün, saat 04.00&rsquo;dan itibaren Jandarma Komutanlığına bağlı birlikler, güvenlik güçleri ve bir zırhlı araç, olay yerine gitmişlerdir. Aynı gün, saat 04.30&rsquo;dan itibaren Eğitim&ndash;Sen&rsquo;in ilk otobüsleri göster…",EĞİTİM VE BİLİM EMEKÇİLERİ SENDİKASI VE DİĞERLERİ - TÜRKİYE DAVASI
255,22.8,Yargıtay,CG,2024/322,300,2025-07-02,gebe×89 | travma×7 | illiyet×3 | cenin/düşük,"…nın 26/1. maddesi) ve ilgilinin rızası (TCK'nın 26/2. maddesi) olarak karşımıza çıkmaktadır. Kusurluluğu etkileyen nedenler ise; amirin hukuka aykırı emrini ifa (TCK'nın 24/4. maddesi), meşru savunmada sınırın korku, heyecan veya telaş ile aşılması (TCK'nın 27/2. maddesi), cebir şiddet, korkutma ve tehdit (TCK'nın 28. maddesi), haksız tahrik (TCK'nın 29. maddesi), kusurluluğu etkileyen nedenlerin mad…",YARGITAY KARARI
256,22.7,Yargıtay,2,2023/2921,233,2024-01-16,gebe×1 | travma×7 | TCK 87/88 | cenin/düşük,"…ni istemiş, erkeğin müvekkiline süregelen şekilde şiddet uyguladığın, hamile kaldığında \""iyi b.k yedin\"" dediğini, bu nednele müvekkilinin üzüntüden düşük yaptığını, daha sonra çocukları olmamasına rağmen doktora gitmediğini, kadının ailesi ile görüşmesine ve çalışmasına izin vermediğini, kadının ailesinin evlerine gelmesini istemediğini, sürekli ağır küfürler ve hakaretler ettiğini, bazen günlerce eve ge…",YARGITAY KARARI
257,22.7,Yargıtay,2,2023/4479,3499,2024-05-15,gebe×1 | travma×5 | illiyet×1 | TCK 87/88 | cenin/düşük,"…e sayısı belirtilen kararı ile; erkeğin kadına karşı fiziksel şiddet uyguladığı ve bu şiddet sonrası davacının evden ayrıldığı kısa bir süre sonra da düşük yaptığı, erkeğin ileri sürdüğü iddiaların ispat edilemediği, erkeğin tam kusurlu olduğu, kadının her hangi bir işi ve sabit gelirinin bulunmadığı, boşanma yüzünden yoksulluğa düşeceği gerekçesiyle, erkeğin davasının reddine, kadının davasının kabulü ile…",YARGITAY KARARI
258,22.7,A.İ.H.M.,2,1996/33218,,2002-11-26,gebe×1 | travma×7 | TCK 87/88 | cenin/düşük,"…edilmiştir. Başvuru sahiplerinin ifade ettiğine göre, bu durum W.H.'nin başvuru sahiplerinin adresinde ikamet etmesine son vermiştir. Hükümet gözetim emrinin eklendiği bu konuyla ilgili kayıtlar ile gözetim dosyasının bulunamadığını belirtmiştir. Bu dönemde denetleme görevlisi olan M., W.H.'yi suçlarının niteliği sebebiyle ailenin evinde yaşamasına izin verilmeyen kişi olarak net bir şekilde hatırlam…",E. VE DİĞERLERİ - BİRLEŞİK KRALLIK DAVASI
259,22.6,Yargıtay,CG,2012/1-1570,339,2013-07-05,gebe×34 | travma×12 | illiyet×3 | TCK 87/88,"…kasten öldürmenin ihmali surette işlenmesi ve bu kapsamda ihmali ve icrai suç ayrımı üzerinde durulması gerekmektedir. Hukuk normları, yasaklayıcı ve emredici normlar olmak üzere, iki şekilde ortaya çıkmaktadır. Sadece icrai bir hareketle ihlal edilebilecek olan ve belirli bir hareketin yapılmasının istenmediği yasaklayıcı normlarda, yasaklanan hareketin yapılması sonucunda bir hak ihlali gerçekleşme…",OLASI KASTLA ÖLDÜRME SUÇU - EVLİLİK DIŞI İLİŞKİ SONUCU HAMİLE KALDIĞI BEBEĞİNİ EVİNDE DOĞURDUKTAN HEMEN SONRA BİR BEZE SARARAK BOŞ BİR ARSAYA BIRAKTIĞI - ÖLÜM NETİCESİNİN MEYDANA GELMESİNE İCRAİ DAVRA
260,22.6,Yargıtay,12,2023/2442,2428,2023-07-05,gebe×37 | travma×26 | illiyet×3 | TCK 87/88,"…ebeğin cansız olduğunu, ...in bağırma seslerini duymadığını ve hamile olduğunu bilmediğini beyan ettiği olayda, &nbsp; Hukuk normları, yasaklayıcı ve emredici normlar olmak üzere, iki şekilde ortaya çıkmaktadır. Sadece icrai bir hareketle ihlal edilebilecek olan ve belirli bir hareketin yapılmasının istenmediği yasaklayıcı normlarda, yasaklanan hareketin yapılması sonucunda bir hak ihlali gerçekleşme…",TAKSİRLE ÖLDÜRME SUÇU - KENDİSİNİ VEKİLLE TEMSİL ETTİREN KATILAN KURUM LEHİNE VEKALET ÜCRETİ ÖDENMESİNE KARAR VERİLMESİ GEREKTİĞİNİN GÖZETİLMEMESİ HUKUKA AYKIRI GÖRÜLMÜŞSE DE BU HATANIN YARGITAY TARAF
261,22.6,Yargıtay,12,2019/13309,907,2022-02-09,gebe×21 | travma×12 | illiyet×3 | TCK 87/88,"…n cansız olduğunu, ...&#39;in bağırma seslerini duymadığını ve hamile olduğunu bilmediğini beyan ettiği olayda, &nbsp; Hukuk normları, yasaklayıcı ve emredici normlar olmak üzere, iki şekilde ortaya çıkmaktadır. Sadece icrai bir hareketle ihlal edilebilecek olan ve belirli bir hareketin yapılmasının istenmediği yasaklayıcı normlarda, yasaklanan hareketin yapılması sonucunda bir hak ihlali gerçekleşme…",TAKSİRLE ÖLDÜRME SUÇU - ADLİ EMANETİN KAYITLI BİR ADAT MAKET BIÇAĞININ KANUN MADDESİ GEREĞİNCE MÜSADERESİNE KARAR VERİLMESİNİN KANUNA AYKIRI OLDUĞU - HÜKMÜN BOZULMASI
262,22.6,Yargıtay,CG,2019/14-171,169,2020-03-10,gebe×21 | travma×60 | illiyet×3 | TCK 87/88,"…ileceği kabul edilmelidir. Dolayısıyla, istisnai nitelikte olup kanunda açık ve anlaşılır şekilde düzenlenen bir sürenin, ayrıca bildirilmesi yönünde emredici bir hukuki düzenleme de bulunmuyorsa yargı mercilerince ilgilisine bildirilme zorunluluğundan bahsedilemeyecektir. &nbsp; Diğer taraftan temyiz, kural olarak bölge adliye mahkemesi ceza daireleri tarafından verilen hükümlerle, bu dairelerin hük…",ÇOCUĞUN NİTELİKLİ CİNSEL İSTİSMARI SUÇU - SANIĞIN ATILI SUÇLARI İŞLEDİĞİNE DAİR HER TÜRLÜ ŞÜPHEDEN UZAK KESİN VE İNANDIRICI DELİL BULUNMADIĞI - DÜZELTİLEREK ONAMA KARARININ KALDIRILARAK BÖLGE ADLİYE M
263,22.6,Yargıtay,CG,2019/597,344,2021-07-06,gebe×57 | travma×262 | illiyet×3 | TCK 87/88,"…dan elde edilerek yukarıya kaydedilen bilgi ve bulgular dikkate alındığında; 1- Kimya İhtisas Dairesinin raporuna göre; kişinin kanında 91mg/dl (0,91 promil) etil alkol tespit edildiği, metanol tespit edilmediği, kanda yapılan uyutucu uyuşturucu analizinde aranan maddelerin bulunmadığı, safrada sistematiğimizdeki maddelerin tespit edilmediği, 2- Biyoloji İhtisas Dairesinin raporuna göre; ...’e ait DNA…",YARGITAY KARARI
264,22.3,Yargıtay,3,2020/1499,4679,2020-03-09,gebe×9 | travma×3 | TCK 87/88 | obstetrik komp.,"…anık ve müdafiinin yerinde görülmeyen diğer temyiz sebeplerinin reddine; ancak, Sanığın gebe olan mağdur eşini kasten yaraladığı, mağdurdaki plasenta dekolmanı üzerine sezeryan ile yapılan erken doğum neticesinde dünyaya gelen bebeğin bir gün içinde vefat ettiği olayda; plasenta dekolmanı, bebeğin erken doğumu ve bebeğin ölümünün annesinin maruz kaldığı travma sonucu meydana gelmiş olduğu Adli Tıp Kurumu…",YARGITAY KARARI
265,22.2,Yargıtay,9,2019/8027,4419,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
266,22.2,Yargıtay,11,2020/7325,377,2022-01-18,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…davacılardan ...’un hamile olduğu, Antalya’da bulunan doktorunun daha önceden yaptığı tetkikler neticesinde rahim ağzındaki açıklığın ileriki aylarda düşük yapma riskini % 90’lara çıkarabileceğini belirttiği, ameliyata zamanında yetişememeleri sebebiyle ameliyatın bir hafta sonra yapıldığı, davacıların karı-koca oldukları, davacı ...’un doktoru ...’un beyanında, operasyon için davacıya randevu verdiğini, r…",YARGITAY KARARI
267,22.2,Yargıtay,9,2019/8028,4420,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
268,22.2,Anayasa,2,2015/2611,,2019-11-12,gebe×12 | travma×10 | illiyet×1 | cenin/düşük,"…bitirdi. Jandarmanın tekmeleri ve tehditlerine maruz kalan S.G., ikiz bebeklerini düşürdü. &nbsp; SÜMBÜL HANIM EŞİNE SARILDI &nbsp; Andıçcı savcının emriyle 23 Şubat 2009&#39;da Refahiye&#39;de düzenlenen operasyonda C.G., jandarma ekiplerince gözaltına alındı. 14 haftalık hamile S.G.ise eşine sarılarak gözaltına alınmasını engellemeye çalıştı. &nbsp; HAMİLE KADINI TEKMELEDİLER &nbsp; Jandarma Görev…",ANAYASA MAHKEMESİNİN 12/11/2019 TARİHLİ VE 2015/2611 SAYILI KARARI (BİREYSEL BAŞVURU)
269,22.2,Yargıtay,9,2019/8035,4427,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - ÜCRET ALACAKLARININ MUVAZAYA DAYALI OLARAK EKSİK ÖDENMESİNİN DİL IRK CİNSİYET SİYASAL DÜŞÜNCE FELSEFİ İNANÇ DİN VE MEZHEP GİBİ SEBEPLERE DAYALI OLDUĞUNUN İDDİA VE İSPAT EDİLEMEDİĞİ - H
270,22.2,Yargıtay,9,2019/8025,4417,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - ÜCRET ALACAKLARININ MUVAZAYA DAYALI OLARAK EKSİK ÖDENMESİNİN DİL IRK CİNSİYET SİYASAL DÜŞÜNCE FELSEFİ İNANÇ DİN VE MEZHEP GİBİ SEBEPLERE DAYALI OLDUĞUNUN İDDİA VE İSPAT EDİLEMEDİĞİ - H
271,22.2,Yargıtay,9,2019/8023,4415,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
272,22.2,Yargıtay,9,2019/8029,4421,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - ÜCRET ALACAKLARININ MUVAZAYA DAYALI OLARAK EKSİK ÖDENMESİNİN DİL IRK CİNSİYET SİYASAL DÜŞÜNCE FELSEFİ İNANÇ DİN VE MEZHEP GİBİ SEBEPLERE DAYALI OLDUĞUNUN İDDİA VE İSPAT EDİLEMEDİĞİ - H
273,22.2,Yargıtay,9,2019/8034,4426,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - ÜCRET ALACAKLARININ MUVAZAYA DAYALI OLARAK EKSİK ÖDENMESİNİN DİL IRK CİNSİYET SİYASAL DÜŞÜNCE FELSEFİ İNANÇ DİN VE MEZHEP GİBİ SEBEPLERE DAYALI OLDUĞUNUN İDDİA VE İSPAT EDİLEMEDİĞİ - H
274,22.2,Yargıtay,9,2019/8030,4422,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - ÜCRET ALACAKLARININ MUVAZAYA DAYALI OLARAK EKSİK ÖDENMESİNİN DİL IRK CİNSİYET SİYASAL DÜŞÜNCE FELSEFİ İNANÇ DİN VE MEZHEP GİBİ SEBEPLERE DAYALI OLDUĞUNUN İDDİA VE İSPAT EDİLEMEDİĞİ - H
275,22.2,Yargıtay,9,2019/8031,4423,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - ÜCRET ALACAKLARININ MUVAZAYA DAYALI OLARAK EKSİK ÖDENMESİNİN DİL IRK CİNSİYET SİYASAL DÜŞÜNCE FELSEFİ İNANÇ DİN VE MEZHEP GİBİ SEBEPLERE DAYALI OLDUĞUNUN İDDİA VE İSPAT EDİLEMEDİĞİ - H
276,22.2,Yargıtay,9,2019/8022,4414,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
277,22.2,Yargıtay,9,2019/8026,4418,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - ÜCRET ALACAKLARININ MUVAZAYA DAYALI OLARAK EKSİK ÖDENMESİNİN DİL IRK CİNSİYET SİYASAL DÜŞÜNCE FELSEFİ İNANÇ DİN VE MEZHEP GİBİ SEBEPLERE DAYALI OLDUĞUNUN İDDİA VE İSPAT EDİLEMEDİĞİ - H
278,22.2,Yargıtay,9,2019/8024,4416,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. &nbsp; Eşit davranma borcuna aykırılığı ispat yükü…",ALACAK DAVASI - ÜCRET ALACAKLARININ MUVAZAYA DAYALI OLARAK EKSİK ÖDENMESİNİN DİL IRK CİNSİYET SİYASAL DÜŞÜNCE FELSEFİ İNANÇ DİN VE MEZHEP GİBİ SEBEPLERE DAYALI OLDUĞUNUN İDDİA VE İSPAT EDİLEMEDİĞİ - H
279,22.2,Yargıtay,9,2019/8032,4424,2020-03-24,gebe×6 | travma×2 | TCK 87/88 | cenin/düşük,"…me göre işçinin dört aya kadar ücreti tutarında bir ücretten başka yoksun bırakıldığı haklarını da talep imkânı bulunmaktadır. Söz konusu fıkra metni emredici nitelikte olduğundan, anılan hükme aykırı olan sözleşme kuralları geçersizdir. Geçersizlik nedeniyle ortaya çıkan kural boşluğu eşit davranma ilkesinin gereklerine uygun olarak doldurulmalıdır. Eşit davranma borcuna aykırılığı ispat yükü işçide…",YARGITAY KARARI
